C_No.,Review Text,Star Rating,Polarity Scores
450,Good Service,5,Satisfied
451,good 👍,5,Satisfied
452,multiple bug need to get fix worst app,1,Dissatisfied
453,"Amazing app. It gives shocking discounts that make me buy everything. But there's a small issue: Even though I select no carry bag option, I always end up getting one. Please fix this. Seems like the delivery people don't know about the option I selected",4,Satisfied
454,good good,5,Satisfied
455,perfect 👍,5,Satisfied
456,sometimes good some time wrong but happy to use zepto,4,Satisfied
457,bad service order le lete hai 2 ghante tak banda aata nhi call company Wale krte nhi aap 1 ghanta robot se fix reply milta rhta hai zepto sasta saman de rha hai isliye please bach ke rhiye mera to bad experience rha ye order ke bande ko badal nhi skte 2 ghante me 7 minutes me aane ki guaranty aur dete hai...very bad service...,1,Extremely Dissatisfied
458,super,5,Satisfied
459,good 👍,5,Satisfied
460,sahi hai,5,Neutral
461,good,5,Satisfied
462,👍,4,Neutral
463,nice,5,Satisfied
464,fraud - 7 min take 45 min consistently!,1,Dissatisfied
465,why is cash on delivery is not available because I am not using Gpay,1,Neutral
466,"Pumpkin is damaged and they covered by sticker to hide the damage part , this is not right zepto you broke our trust",1,Dissatisfied
467,nice,5,Satisfied
468,unnecessary delays in delivery. and wrong delivery timings shows in app every time you place the order then you try to reach out to them and a bot answers same thing again and again,1,Dissatisfied
469,Good going,5,Satisfied
470,packing always very bad,3,Dissatisfied
471,it's very nice,5,Satisfied
472,Full quality product are here,5,Neutral
473,best app,5,Satisfied
474,Now a days zepto is not delivering item on there schedule time.,1,Neutral
475,excellent service,5,Satisfied
476,good,5,Satisfied
477,ok,5,Satisfied
478,very High delivery charges,5,Dissatisfied
479,most of the time when I try to order it shows service unavailable,1,Neutral
480,"Zepto stopped giving paper bags all together even after unchecking the ""I don't need a bag"" option. Everything else is pretty much fine, however not sure about this discrepancy of not giving bags even after proper instructions. It's already happened thrice to me.",3,Satisfied
481,nice,5,Satisfied
482,good service,5,Satisfied
483,Best,5,Satisfied
484,good,5,Satisfied
485,best,5,Satisfied
486,very good 👍,5,Satisfied
487,Worst platform no support to customers even when complaint raised on the product quality within 5 mins of receiving the product. zero customer Focus. Thanks for making one of my days as a bad one.,1,Extremely Dissatisfied
488,"not able to signin.otp is not getting sent.Inspite of mailing with the screenshot,the support team can't even identify the issue let alone resolving it. Pathetic support.",1,Satisfied
489,"I regret using Zepto poor return policy and zero customer support not recommended, worst return experience. Zepto simply doesn’t accept returns even for damaged/wrong products. Very disappointing service.",1,Dissatisfied
490,good,5,Satisfied
491,good,5,Satisfied
492,good,5,Satisfied
493,cupen is not included,1,Neutral
494,good,5,Satisfied
495,products are expired...😡😡,1,Neutral
496,Excellent 👌👌👌,5,Extremely Satisfied
497,poor customer service.. the deliver less item.. if we try to complaint there is no support.. only mail n no response from them.. never buy from zepto,1,Extremely Dissatisfied
498,good service done 👍✅,5,Satisfied
499,good,3,Satisfied
500,this is very nice app I this is very super appreciate this app ❤️,5,Extremely Satisfied
501,koi bhi is app ko use hi mat kro...chor kahi ke pripade order khud cancel krte h or fir pese return krne ke nam par sirf app me successful show krte h,1,Satisfied
502,good,5,Satisfied
503,yall have really bad management 🤡,1,Dissatisfied
504,I can't delete my account,1,Neutral
505,"Horrible experience with Zepto. I had ordered two beverages from Zepto cafe. At the time of delivery there was a spillage issue with both the items, therefore I refused to accept the order. I got a call from their customer care asking for the reason for not accepting the order, I explained it to the support staff and she told me to place a fresh order. I tried placing a fresh order but was shocked and disappointed to find out that the COD option was disabled for no fault of mine.",1,Dissatisfied
506,👍,4,Neutral
507,good but cashback scam,4,Dissatisfied
508,Initially I felt it was a saviour. But my recent experience has compelled me to criticize this app. The app doesn't have a customer care number for any resolution of the problem and the AI generated responses are of least help. On 5th December I had ordered a few things and it was the pre-paid order. however one of the items was damaged so I returned the order. it has been over 3 days since I've still received my refund.,1,Extremely Dissatisfied
509,good,5,Satisfied
510,good response,5,Satisfied
511,good,5,Satisfied
512,fast delivery,5,Neutral
513,good,5,Satisfied
514,good,4,Satisfied
515,fastest delivery app,5,Neutral
516,"worst products, not running a business but doing fraud with people...urging to not buy any product from zepto. They take money and deliver rotten product...",1,Extremely Dissatisfied
517,no new coupons,3,Dissatisfied
518,bread bakvas please check and send quality not good for,1,Neutral
519,great quick commerce services,5,Satisfied
520,good,5,Satisfied
521,good,5,Satisfied
522,"Worst not available in northern cities of Kerala, even in Calicut",1,Dissatisfied
523,delivery boy took from me extra money really my amount was 182 and he talk 464 that's the reason I'm giving one star rating,1,Dissatisfied
524,"I ordered something and paid online, but didn't receive the order, and customer service isn't helping either."" worst app ever",1,Satisfied
525,useful items,5,Satisfied
526,good,5,Satisfied
527,Ami sob somoy zepto te oder kori ata darun akota app akhane sob kichu motamoti paoya jai khub valo akota app sarvice o khub valo,5,Dissatisfied
528,delivery fast carry bag extra charges noMal Sahi nahin dete Hain Saman bahut hi bekar hai,1,Dissatisfied
529,nice,4,Satisfied
530,Good experience,5,Satisfied
531,Increasing prices of frequently buying items 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬 Never going to buy anything unless you keep the price normal 🤬🤬🤬🤬😡😡😡😡😡😡😡😡,1,Neutral
532,very fast delivery good thank you,5,Satisfied
533,Frequent you can face missing items and ask to raise refund. no proper explanation from customer service,2,Dissatisfied
534,bad experience from zepto.,1,Dissatisfied
535,zepto is the Best app to use for us and thank you so much for this app,5,Extremely Satisfied
536,good,5,Satisfied
537,It was a very bad experience The delivery was not delivered but it was showing that it was delivered i had a very bad experience with this app,1,Extremely Dissatisfied
538,very fast delivery and good service,5,Satisfied
539,wow,5,Satisfied
540,good,5,Satisfied
541,good service zepto,5,Satisfied
542,Excellent 👌,5,Extremely Satisfied
543,good👍,5,Satisfied
544,good,5,Satisfied
545,fast and best price,5,Satisfied
546,good but no packaging given,4,Neutral
547,good,5,Satisfied
548,super and fresh vegetables,5,Satisfied
549,💕 nice 👍,5,Extremely Satisfied
550,good service,5,Satisfied
551,very low price in the app,5,Dissatisfied
552,good,5,Satisfied
553,very bad................,1,Dissatisfied
554,zepto is amazingly efficient and great price and good quality. i have stopped using all other apps for delivery ever since i started using zepto. i use to prefer Blinkit earlier but after zepto Blinkit is out and is only used when items in Zepto are Not available well done Zepto. please keep up the good service and reliability.,5,Extremely Satisfied
555,very fast delivery,5,Neutral
556,nice.,5,Satisfied
557,happy to have you,5,Satisfied
558,very nice app,5,Satisfied
559,baddd,1,Neutral
560,nice service,5,Satisfied
561,After I paid my order online and my order packed the delivery partner riding somewhere else I haven't received my order. Worst experience it's not recommended for anyone to go ahead and buy a nearby shop.,1,Dissatisfied
562,Worst aftersale service,1,Dissatisfied
563,good service,5,Satisfied
564,itana notifications bhejta hai... utana agar order bhejna shuru kar de... to COMPANY PROFITABLE HO JAAYEGA SAMJHAAAA RE?,1,Satisfied
565,y app is not working sudden I want to talk to the owner of the zepto shop,1,Neutral
566,"Zero Star Zepto Always Manipulate In Gram, Har bar kam gram deliver karte hai me photos bhi uplod karta hu par vo refund nahi karte aur exchange bhi nahi karte.",1,Neutral
567,this application offer doesn't have any stand in case of payment failure. They remove the offer and the user can't get that offer back,1,Dissatisfied
568,Thank you zepto,5,Satisfied
569,first time user. good experience. will use it again.,5,Satisfied
570,good,5,Satisfied
571,good 👍,5,Satisfied
572,nice app,5,Satisfied
573,good app,5,Satisfied
574,this app has no customer service for any kind of enquiry seriously?? I just placed an order & my payment was shown successful from my side with all bank statements and transaction IDs but it says faid in the app and asked me to pay online while delivery somehow a person called me to talk and literally cut off while I was talking to them in the middle of conversation is this how they respect their own customers? such disgusting immature behaviour I wonder if someone even cares about this review,1,Satisfied
575,बहुत अच्छा है,5,Neutral
576,good 500good,5,Satisfied
577,it have me good experience in the first order loved it,5,Extremely Satisfied
578,Don't like the interface plus there is no option to cancel order within 2 minutes of ordering it,1,Dissatisfied
579,wrong products delivering Booked a Medium size M But received a small size,1,Dissatisfied
580,fast delivery and delivery at home,5,Neutral
581,nice,5,Satisfied
582,"Very high price in product Those who buy more goods, they sell the product at a higher price. These people give it to new users at a cheaper price and later charge an overpriced price.",1,Neutral
583,nice app,5,Satisfied
584,"good quality, fast service, affordable price",5,Satisfied
585,vary good,5,Satisfied
586,best service,5,Satisfied
587,very nice,5,Satisfied
588,nice app 👍👍,5,Satisfied
589,pay was unsuccessful whan i do online,4,Dissatisfied
590,Not Tasted.so they sell low price,1,Dissatisfied
591,Best,5,Satisfied
592,always Better than blinkit,5,Satisfied
593,very good,5,Satisfied
594,awesome,5,Satisfied
595,good service,5,Satisfied
596,"good service, keep it up, but one thing rate is little bit high, compare to DMART.",5,Neutral
597,initially it was good experience... recently my order got cancelled and I claimed for refund..it's been two weeks no response.. worst experience..,1,Satisfied
598,"I always prefer zepto as I my first choice but the issue i recognised is previously I've added few items in cart and left it. later I opened after few days and clicked on cash on delivery by mistake instead of clearing my cart, I dint have any option to cancel my order even within frac of sec. It had an option to modify the items but it's not allowing me to change then what's the purpose of having that option. what incase if customer order a costliest product by mistakenly???",3,Extremely Dissatisfied
599,good price for product & quick delivery,5,Satisfied
600,Thes is good working,5,Satisfied
601,"yesterday I orderd sagar ghee and I think it's fake it's quality is so different then I buy from amul store it's packing is different even there is no bharat sarkar symbol which has to be there and prices are also high , tin was leaking also it was also 6 months older packed tin",1,Dissatisfied
602,this app is very well,4,Satisfied
603,super,5,Satisfied
604,lowest price,5,Dissatisfied
605,do bar Mera payment fail hua,2,Dissatisfied
606,very bad,1,Dissatisfied
607,zepto is best,5,Satisfied
608,good 😊,5,Extremely Satisfied
609,"Pathetic Service. Would be great if Zepto steps into its own market with competitors like BigBasket or DMart, because this service is false and cannot deliver as promised. This latest move to deliver items at MRP is not a successful move. There is no point in using Zepto. It can never compete with Blinkit or Instamart. Uninstall the App NOW.",1,Dissatisfied
610,good,5,Satisfied
611,nice,5,Satisfied
612,not time on orders in night,1,Neutral
613,such a bad service. it's gives a big disappointment from last half hours I booked my order but its still showing in 6 minutes your order will arrived 🤬🤬,1,Dissatisfied
614,good service 💯,5,Satisfied
615,it gives best offer only in our first 2 or 3 orders,1,Satisfied
616,suppperrrrrr,5,Neutral
617,nice 💯,4,Satisfied
618,very nice,5,Satisfied
619,good,5,Satisfied
620,Good,5,Satisfied
621,this is so useful app for emergency I love this aap 🤍,5,Satisfied
622,good,5,Satisfied
623,"service support is very very bad, especially with irritating bot. tagline should be a 1 hour delivery app!",1,Dissatisfied
624,good 👍,5,Satisfied
625,👍🏻,5,Neutral
626,poor don't use this app I recently purchased a projector the quality was poor.when i try to contact executive they tell we can't replace or refund.they don't hear my complaint fully..they end chat immediately..poor app,1,Dissatisfied
627,nice,5,Satisfied
628,Service All Area Ma Chalu karo,1,Neutral
629,good service,4,Satisfied
630,good,5,Satisfied
631,nice 👍🙂,5,Satisfied
632,got cheap quality product and not giving my refund...,1,Dissatisfied
633,fast delivery and good quality,5,Satisfied
634,very good service and fast delivery,5,Satisfied
635,good 👍,5,Satisfied
636,refral cod option not showing,1,Neutral
637,excellent service,5,Satisfied
638,super,5,Satisfied
639,thanx,5,Neutral
640,so sweet,5,Satisfied
641,good timing dilevery,5,Satisfied
642,when I try to order at evening time it always unavailable because of heavy traffic and say wait 4 15 minutes but that's show continuously and unable to delivered.,1,Neutral
643,fast services,5,Neutral
644,zepto provide best price v. less than big basket and flip kart,5,Satisfied
645,love you baby,5,Satisfied
646,don't download this app once you paid money can't get refund I will never use this app 🤬,1,Neutral
647,good,5,Satisfied
648,good 👍,5,Satisfied
649,Disgusting... They claim themself as 15 minute app but now we have to schedule and even after scheduling can't receive the order... (after waiting for hours) and on top of all we get ai slop when we ask for help,1,Satisfied
650,excellent 👌,5,Extremely Satisfied
651,price jyada hai kisi ke kam fi r bhi think hai,4,Neutral
652,very good app,5,Satisfied
653,Best in market,5,Satisfied
654,great,5,Satisfied
655,third class customer support aur usse bhi jhatugiri ye ki 10 rs se order delivery karne ka,1,Satisfied
656,"delivery Man very very nice 👍 behaviour ,I am very happy for that and best wishes for him 🍫🍫👍",5,Extremely Satisfied
657,nice service,5,Satisfied
658,delivery is late,2,Neutral
659,we are receiving first copy products i have ordered a reebok cap and I got it from a different website,1,Neutral
660,third class service,1,Neutral
661,good response and fast delivery,5,Satisfied
662,VERY STUPID APPLICATIONS FOR ORDER CANCEL OPTION IS NOT AVAILABLE,1,Dissatisfied
663,"Speed and Convenience: Many users appreciate Zepto's rapid delivery times, often in under 10 minutes, facilitated by strategically located ""dark stores"".",5,Satisfied
664,delivered just in time as expected,5,Neutral
665,good,5,Satisfied
666,increase the range of your service plssssssssssssssssssssss my house is just 500M outside your service zone.,3,Satisfied
667,Good Product 👍,5,Satisfied
668,nice work,5,Satisfied
669,very ast service they didn't give refund or exchange option and also the customer care are also very bad so use blinkit it is better than this rediculous app,1,Satisfied
670,Good one,5,Satisfied
671,"Hi, few days back I ordered some vegetables where in 500gms of carrots I got only 2 small carrots and the packet was open, cucumbers were soggy, beetroots were spiled from inside. Today I ordered some product, the pack was torn and open. Even the packet was very dirty. Didn't expect this from zepto",1,Dissatisfied
672,Mena apne last order return ker diya but abhi tak mera amount refund nhi huwa customer support very bad experience,1,Dissatisfied
673,I love it 😍,5,Extremely Satisfied
674,amazon pay se payement karne per 50 cashback kab tak aayegya batao,4,Neutral
675,good service,5,Satisfied
676,very good,5,Satisfied
677,worst app very bad service,1,Extremely Dissatisfied
678,"Hello Zepto Team, I received a cat food product whose manufacturing/expiry date printed on the packet is valid, but the food inside was spoiled/expired. After eating it, my cats started having loose motion and vomiting, and the food had a bad smell, which clearly shows it was not safe for consumption.",1,Extremely Dissatisfied
679,the delivery should not be given to cycle boy. It should be given to motorcycle delivery boy,2,Neutral
680,so nice 👍,5,Satisfied
681,fast and best helpfull service,5,Satisfied
682,I ordered milk and it was leaking instead of a replacement they offered a refund....what's the use of it if we want things and getting a refund....they told me to order again but the small cart will have delivery fees...third class app....have changed now unlike beginning,1,Neutral
683,so good,5,Satisfied
684,Good,4,Satisfied
685,zepto is very use ful to us but not take my order plese solve my problem and zepto is very good and very fresh delivery and lowest price,5,Satisfied
686,app does not open 😔,3,Neutral
687,very waste app... I nevermind seen .. very dad customer service. please 🙏 don't buy anything. please us another app..,1,Dissatisfied
688,Bhai hum bhi bahar nikalne de... kittna tezz hai tu..😁,4,Satisfied
689,I have paid the amount through online but it it showing refund is initiated.Then I contacted customer care service they said you show your phone pe paid message but when I told delivery boy he said it is not showing in his app .how must pay the amount better you refund my amount.,2,Extremely Satisfied
690,super,4,Satisfied
691,Highly recommend this app.,5,Satisfied
692,no carry bags,3,Dissatisfied
693,bad packing 2ites are leaked,3,Dissatisfied
694,good,5,Satisfied
695,wow nice app,5,Extremely Satisfied
696,nice app.,5,Satisfied
697,good,5,Satisfied
698,I m for service,5,Neutral
699,delay partner always,1,Dissatisfied
700,super,4,Satisfied
701,great platform 👍,5,Satisfied
702,Thanks for this masterpiece,5,Extremely Satisfied
703,good,5,Satisfied
704,wow,5,Satisfied
705,good,5,Satisfied
706,good,4,Satisfied
707,should deliver product with CARRY BAG.,4,Neutral
708,wow,5,Satisfied
709,good 😊,5,Extremely Satisfied
710,do not order anything from this aap worst online delivery aap.,1,Dissatisfied
711,very good zepto,5,Satisfied
712,price products delivery so good,5,Satisfied
713,it shows cart is unserviceable since 2 yr,1,Neutral
714,good,5,Satisfied
715,Don't help when need,1,Dissatisfied
716,good service,5,Satisfied
717,Good Service & Kwality,5,Satisfied
718,All most okay,5,Satisfied
719,good delivery,5,Satisfied
720,timely response,5,Neutral
721,good,5,Satisfied
722,nice,5,Satisfied
723,fast delivery app,5,Neutral
724,best app,5,Satisfied
725,zepto mangament is very bad 👎...I wanted to return my items but they are not allowing to return bcoz of nonsense policy,1,Dissatisfied
726,the bring stuff without any paper bags,1,Neutral
727,fast and reliabel,5,Neutral
728,super fast,5,Satisfied
729,super,5,Satisfied
730,good aap,5,Satisfied
731,good,5,Satisfied
732,good,4,Satisfied
733,good,5,Satisfied
734,location problem,1,Dissatisfied
735,Very bad app. I received stale and old food that had bad smell and taste. I mailed to them and asked for a refund. But they did not refund my money even after multiple enquiries. So I will never order from this app again. Be aware.,1,Dissatisfied
736,good service 💯,5,Satisfied
737,very nice service,5,Satisfied
738,zepto is the worst app in case of delivery the delivery boy was so rude with me for no reason as if id commitment a crime is this how u treat a customer ig these people r hiring goons instead of normal people,1,Extremely Dissatisfied
739,nice,5,Satisfied
740,perfect time delivery,5,Satisfied
741,👍,5,Neutral
742,A very useful app indeed! Price of the products are reasonable compared to other apps. Time is very punctual ❤️ 100% recommended,5,Satisfied
743,super,5,Satisfied
744,it takes more time for delivery.,1,Neutral
745,Thank you fast delivery and best price for all products.,5,Extremely Satisfied
746,good,5,Satisfied
747,very good and fast service,5,Satisfied
748,"A perfectly, managed E-comm platform, and great brands and always on time. Courteous delivery representatives.",5,Extremely Satisfied
749,great,5,Satisfied
750,"It is cancelling order after taking the payment, after contacting customer support they are not responding and aren't refunding. Neither I got my order nor payment, I'll not order again ever.",1,Neutral
751,very good,5,Satisfied
752,good,5,Satisfied
753,good,5,Satisfied
754,fast delivery good experience,5,Satisfied
755,I had a very bad experience with Zepto.they had cancelled my COD(cash on delivery)option for no reason. If there was an option of zero stars I would give zero stars !!!! I did not expect this from Zepto.,1,Extremely Dissatisfied
756,quick and satisfying,5,Satisfied
757,"best app ever ,",5,Satisfied
758,good,5,Satisfied
759,fast delivery good product,5,Satisfied
760,good,5,Satisfied
761,not check product quality,1,Neutral
762,best best of Best,5,Extremely Satisfied
763,Emagency its help,5,Satisfied
764,very very nice and useful,5,Extremely Satisfied
765,super,5,Satisfied
766,nice,5,Satisfied
767,what a disgusting behavior....my first order experience is disgusting.. packaging are broken....very disappointed..i ordered icecream 1L but the box is broke..,3,Extremely Dissatisfied
768,payment dismiss dekha raha h aur paise pay ho gye h bekar aap h fraud h ek no. ka pls use care fully payment dismiss dekha kar paise kat liye aur product bhi nhi aya,1,Neutral
769,good 👍👍,4,Satisfied
770,good product,5,Satisfied
771,"Most useless support, ask a question keeps saying the same thing over and over again. not sure if it's Ai gen or actual people but no proper response at all.",1,Dissatisfied
772,good fast delivery,5,Satisfied
773,scammers,1,Neutral
774,mapping should be more good and promising,4,Satisfied
775,"I ordered a 480g of top ramen noodles packet and it was delivered to me and firstly the delivery was not good enough and the noodles were also broken inside, I'm so disappointed now zepto such a shame",1,Extremely Dissatisfied
776,zepto rider k liye bhut he badsaluki kara h or 6month m bhut km pesa kr deya h bdane ke jgha km kr rha h,1,Neutral
777,"Good, fast delivery",5,Satisfied
778,worst delivery app. last night i ordered food product from zepto. they have promised to deliver in 18 minutes but i haven't received my product even in an hour then they asked me to cancel the order...,1,Dissatisfied
779,froud app....hold kar diya h mera account...saalo unhold karo mera account,1,Neutral
780,bakwass app h zepto....saalo ne mera account hold kar diya h or usme 7895 rupee use less ho gye h mere,1,Neutral
781,"I always order from Zepto. I’ve also tried Zepto Café — it’s a must-try, 10 out of 10. The delivery is really fast.",5,Neutral
782,Great,5,Satisfied
783,okay good,5,Satisfied
784,good,5,Satisfied
785,very good,5,Satisfied
786,best eCommerce app ever,5,Satisfied
787,good job,5,Satisfied
788,super k,5,Satisfied
789,very good,5,Satisfied
790,I hate this ap bcz location pr aata hi nhi h or cash on delivery nhi h,1,Dissatisfied
791,"I’m extremely happy with Zepto and how consistently reliable it is. Their delivery speed is incredible — orders arrive within minutes, and the convenience it adds to daily life is unmatched. Even if something goes wrong, the refund process is super quick and hassle-free, which builds a lot of trust. Their customer care team is also excellent, always polite and quick to resolve issues. Plus, Zepto offers a wide range of products at really good prices, making it my top choice for shopping. Overal",5,Extremely Satisfied
792,good,5,Satisfied
793,zepto♥️♥️♥️♥️,5,Extremely Satisfied
794,good app,4,Satisfied
795,wow 😳,4,Satisfied
796,good 👍😊,5,Extremely Satisfied
797,fast delivery,5,Neutral
798,We recently mistakenly paid twice for an order & on telling Zepto the amount was refunded IMMEDIATELY !,5,Dissatisfied
799,good,5,Satisfied
800,very fast delivery. useful.,5,Satisfied
801,Please FORCE your delivery boys to wrar a helmet at least while going for a delivery & not just put a helmet but to STRAP it up properly.,5,Neutral
802,good but kabhi kabhi bahut late delivery hoti hai,5,Neutral
803,good work,5,Satisfied
804,"Suddenly, the cart shows as unserviceable.",1,Neutral
805,the prices are very high ans got scam too,2,Dissatisfied
806,very good,5,Satisfied
807,good,5,Satisfied
808,it's is good but ..time is not right fir delivery,5,Neutral
809,good 💯,4,Satisfied
810,wow,5,Satisfied
811,"unsatisfactory customer support, Bread was delivered after 7 days of expiry, when complain is raised, they revert as reimbursing ₹55 but I want third party inspection as it is a consumer right, what is a procedure for that? i asked the same from customer support. they just raised the refund and closed the thread without my concent.",1,Extremely Satisfied
812,very helpful,5,Satisfied
813,isse ghatiya company koi nahi hai na hi inke pass customer support order hamesha late or uspar bhi koi customer ki sunvayi nahi inke diye 5 ya 10 rs ke laalach m fasne se acha khud jaake samaan le aao bhut hi jayada ghatiya,1,Satisfied
814,"This is a fraud company. I ordered a product and made online payment for it, then due to collusion between the company and the delivery boy, I was given an open and used product.I complained to the company's customer care but they neither refunded me nor changed my product. I would suggest you never to trust the zeppto or order the product by making online payment. Even if you have ordered, first check whether the product is packed or not and only then make the payment.",1,Dissatisfied
815,"In the swiftly evolving realm of e-commerce, Zepto emerges as a dominant force, swiftly surpassing giants like Swiggy Instamart, Blinkit, Amazon, and Bigbasket. Gone are the days when I ventured into the marketplace for my daily groceries; now, Zepto seamlessly meets my needs with unparalleled efficiency. Their exceptional customer service fosters unwavering trust, encouraging me to purchase more without hesitation. Truly, Zepto is revolutionizing the game.",5,Extremely Satisfied
816,🧡,5,Satisfied
817,Though prices are more or less good but the business tactics they are pursuing is discriminatory. I say this because for the same location and same product they show different prices and offers are also very different for both the users.,2,Neutral
818,nice,5,Satisfied
819,good,5,Satisfied
820,👌nice,5,Satisfied
821,very good on time 👍,4,Satisfied
822,Best app,5,Satisfied
823,Very Fast Delivery,5,Neutral
824,Well Ontime 👍,5,Satisfied
825,good 👍,5,Satisfied
826,"fast delivery, no extra charge",4,Dissatisfied
827,excellent service,5,Satisfied
828,"I would want to rate higher because they sometimes provide very cheap groceries and fresh items, but they frequently don't match timings as they stand (10-minute grocery app) which doesn't seem to be correct, they do delivery in 30-40 minutes some times and that accounts for 70% of the time.",1,Neutral
829,fast and good service,5,Satisfied
830,supar,5,Neutral
831,best quality 😜,5,Satisfied
832,Excellent Service,5,Satisfied
833,"ekdam ghatiya aap hai har items ke Selling price over charged hai or hidden charges alag de do, or mujhe ye samajh nahi aata ki platform fees kis baat ki hai jabki ise banaya hi users ke liye hai",1,Dissatisfied
834,product quality is best.service is very good 👍,5,Satisfied
835,good 😊😊😊👍👍👍,5,Extremely Satisfied
836,best service,5,Satisfied
837,wrong product,1,Dissatisfied
838,ok,5,Satisfied
839,Sk General Store 2703 chooti baradari ballimaran chandni chowk zepto is so good 💯,5,Satisfied
840,Best services,5,Satisfied
841,very good,5,Satisfied
842,not service able 😭😭,1,Dissatisfied
843,wow,5,Satisfied
844,good,5,Satisfied
845,Zepto delivery so nice and fast,5,Satisfied
846,Nice experience,5,Satisfied
847,good service 👍🏻,5,Satisfied
848,osmm,5,Neutral
849,super order,5,Satisfied
850,good hi,5,Satisfied
851,Good public service,4,Satisfied
852,All items are good 👍👍👍👍👍👍👍👍 zepto is best fast delivery source,5,Extremely Satisfied
853,good service very super fast delivery,5,Extremely Satisfied
854,"The inventory wasn't updated due to which after placing the order for 3 items, one of them was out of stock and the amount of it was refunded. After contacting the customer service right away before the order being dispatched and telling the representative 9 times that i do not want the order, I was only getting generic bot like responses from a live agent. after asking multiple times for a supervisor a finally got hold of one. This is the worst customer service ever.",1,Dissatisfied
855,good 👍,5,Satisfied
856,Very worst app,1,Dissatisfied
857,good,5,Satisfied
858,good test and good dilivery boy,5,Satisfied
859,over all everything is good but there is a problem whenever I try to order it shows (cart is unavailable) so we have to wait around 24 hours or 2 to 3 days so yeah plz try to fix it,4,Satisfied
860,there delivery riders are rude,1,Dissatisfied
861,good work 👍,5,Satisfied
862,good sarvice,5,Satisfied
863,Zepto supply wishing it groww,5,Neutral
864,very good service,5,Satisfied
865,good,5,Satisfied
866,fastly delivery 👍,5,Neutral
867,good,5,Satisfied
868,nice 👍🙂,5,Satisfied
869,"Worst service, always faced delivery issues either they won't deliver on time or they deliver damaged product, it will keep showing 10 min delivery time for 20 min and there won't be any explanation until we request support, this has happened to me for the last three orders, bye I am quitting this app.",1,Dissatisfied
870,No offers nothing,2,Dissatisfied
871,"""I'm really disappointed with Zepto. It always shows ‘can’t service this location’ and there’s high surge pricing most of the time. Now they’ve also stopped providing midnight services. At this point, the app feels useless. I recommend switching to other delivery apps instead.""",1,Dissatisfied
872,Very fast service good service,5,Satisfied
873,worst app,1,Dissatisfied
874,good delevery boy,5,Satisfied
875,zepto 10 min good,3,Satisfied
876,"zepto I don't get the correct product from Kali, it is defectivevery bad experience",1,Dissatisfied
877,super,5,Satisfied
878,getting delivery after 1:23 min,1,Neutral
879,very good app 👍,4,Satisfied
880,free cash disabled since last 1 year,1,Satisfied
881,good service,5,Satisfied
882,GOOD,5,Satisfied
883,quality issue,3,Neutral
884,good,5,Satisfied
885,love it,5,Satisfied
886,every time I tried to place the order it show's cart is unserviceable... and after add the product in cart suddenly shows out of stocks whinthin a second...,2,Neutral
887,good experience with zepto🫶❤️timly delivery♥️good behave 🙌from delivery executives🙌♥️,5,Extremely Satisfied
888,good product,5,Satisfied
889,excellent,5,Satisfied
890,yummy 😋😋😋😋😋,5,Satisfied
891,super,5,Satisfied
892,very helpful,5,Satisfied
893,very nice,5,Satisfied
894,very good offer zepto thank you,4,Satisfied
895,"this app has become very unprofessional,I am uninstalling it for good it is automatically changing the price with difference of hundreds on any product at checkout and not even notifying the customer their chat agents are mostly robots/ AI ,They will give automatic insensitive reply and can't help in any way I had stopped using it before,but again I thought things might have changed,but they are worse,switch to swiggy better",1,Neutral
896,good quality and time to deliver,5,Satisfied
897,CaRT iS uNserViCeAble all day long.,1,Neutral
898,"I wanted to give it a 0 star but there is no option. Their delivery estimated time is horrible. If you cannot deliver the goods in estimated time, then close your company. You give wrong info in your app.",1,Extremely Dissatisfied
899,good,1,Satisfied
900,"I did not had a good experience first of all it ain't delivering at my home like at my apartment the location is not available, so I did order at my friends house and the driver was so rude to her and the items were missing and it mostly never takes cash but it did that one time and surprise the items were missing we told the driver and he still wanted the full amount but we still paid the half amount",1,Dissatisfied
901,very fast delivery,5,Neutral
902,good service,5,Satisfied
903,very nice,5,Satisfied
904,good,4,Satisfied
905,thanku,5,Neutral
906,fake products are selling,2,Dissatisfied
907,they delivered quickly,5,Neutral
908,very neet and very fresh.. fast delivery,4,Satisfied
909,good,5,Satisfied
910,please give me offer cash back,5,Satisfied
911,awful experience with zepto .....worst app and worst delivery management..i ordered some products first it showed me it will be delivered within 20 minutes.. 1 hr passed now the AI support service asked me to cancel my order due to no delivery partner then why to take order first. ...its been more than month still the money is not refunded yet worst app,1,Extremely Dissatisfied
912,Very good and fresh products with friendly staff and cheapest rate,5,Extremely Satisfied
913,low prices then other app. nice products,5,Neutral
914,to good 😊 excellent 👌🏻 thank you 😊 for fast delivery 👍🏻 good product 😀,4,Extremely Satisfied
915,good,5,Satisfied
916,Faltu and useless application,1,Dissatisfied
917,very nice.apps .good food,5,Satisfied
918,awesome service,5,Satisfied
919,very good,5,Satisfied
920,By mistake Order kiya hua Product Exchange deny karte hai.,1,Dissatisfied
921,without eating they expect us to rate so here is my rating,1,Neutral
922,yaa I like it's fast service,5,Satisfied
923,Cool,1,Satisfied
924,delivery late h bs,3,Neutral
